Drug,Unnamed: 1,GENE,Query Score,Interaction Score,Normalized_query_score,Normalized_interaction_score
  HALOPERIDOL,,HSPA4,0.77,0.04,0.0059181897302001745,0.00011736056098348151
  NIFEDIPINE,,HSPA4,0.76,0.06,0.005831157528285467,0.00017604084147522224
  CHLORPROMAZINE,,HSPA4,0.65,0.09,0.004873803307223674,0.0002640612622128334
  INOSITOL,,IRS1,2.49,1.16,0.02088772845953003,0.0034034562685209633
  GLIMEPIRIDE,,IRS1,2.18,2.03,0.01818973020017407,0.005956048469911686
  PRASTERONE,,IRS1,2.01,0.62,0.01671018276762402,0.0018190886952439633
  EPIRUBICIN,,IRS1,0.87,0.27,0.006788511749347259,0.0007921837866385002
  CYCLOPHOSPHAMIDE,,IRS1,0.77,0.1,0.0059181897302001745,0.0002934014024587038
  ALCOHOL,,IRS1,0.66,0.12,0.004960835509138382,0.0003520816829504445
  FLUOROURACIL,,IRS1,0.54,0.08,0.00391644908616188,0.00023472112196696302
  TRETINOIN,,FUS,1.19,2.58,0.009573542210617928,0.007569756183434557
  ANTHRALIN,,KRT2,4.36,6.31,0.03716275021758051,0.018513628495144208
  COPPER,,KRT2,3.75,0.26,0.03185378590078329,0.0007628436463926298
  METHYLDOPA,,KRT2,2.04,0.24,0.016971279373368148,0.000704163365900889
  MOTUPORIN,,PPP1CC,8.71,37.87,0.07502175805047868,0.1111111111111111
  OKADAIC ACID,,PPP1CC,8.71,37.87,0.07502175805047868,0.1111111111111111
  CALYCULIN A,,PPP1CC,6.53,28.4,0.05604873803307225,0.08332599829827186
  ARTENIMOL,,SRP14,7.53,1.4,0.06475195822454309,0.004107619634421853
  CHEMBL1161866,,MDH2,7.08,0.59,0.060835509138381205,0.0017310682745063522
  XANTHINOL,,MDH2,5.81,4.73,0.04978241949521323,0.01387788633629669
  CISPLATIN,,MDH2,1.77,0.19,0.01462140992167102,0.0005574626646715372
  ALBUMIN HUMAN,,MDH2,0.58,1.89,0.004264577893820714,0.005545286506469501
  GLYCINE,,GARS,3.17,10.33,0.026805918189730202,0.030308364873984098
  ALPELISIB,,PIK3CA,26.4,0.28,0.2289817232375979,0.0008215239268843706
  DACTOLISIB,,PIK3CA,25.17,0.21,0.2182767624020888,0.0006161429451632779
  BUPARLISIB,,PIK3CA,24.68,0.26,0.21401218450826806,0.0007628436463926298
  TASELISIB,,PIK3CA,23.76,0.4,0.2060052219321149,0.0011736056098348151
  PICTILISIB,,PIK3CA,18.29,0.26,0.15839860748476936,0.0007628436463926298
  GEDATOLISIB,,PIK3CA,16.22,0.15,0.14038294168842472,0.00044010210368805564
  COPANLISIB,,PIK3CA,15.97,0.23,0.13820713664055703,0.0006748232256550187
  INK-1117,,PIK3CA,13.07,0.55,0.11296779808529157,0.0016137077135228708
  EVEROLIMUS,,PIK3CA,12.43,0.12,0.10739773716275022,0.0003520816829504445
  PILARALISIB,,PIK3CA,11.76,0.17,0.10156657963446476,0.0004987823841797964
  SAMOTOLISIB,,PIK3CA,10.89,0.18,0.09399477806788513,0.0005281225244256667
  SONOLISIB,,PIK3CA,10.45,0.15,0.09016536118363795,0.00044010210368805564
  TRASTUZUMAB,,PIK3CA,9.8,0.28,0.0845082680591819,0.0008215239268843706
  TEMSIROLIMUS,,PIK3CA,9.58,0.27,0.08259355961705832,0.0007921837866385002
  PF-04691502,,PIK3CA,9.22,0.13,0.07946040034812882,0.0003814218231963149
  PA-799,,PIK3CA,9.07,0.15,0.07815491731940818,0.00044010210368805564
  APITOLISIB,,PIK3CA,8.89,0.11,0.07658833768494344,0.00032274154270457413
  CHEMBL1939433,,PIK3CA,8.71,0.74,0.07502175805047868,0.0021711703781944077
  SERABELISIB,,PIK3CA,8.71,0.37,0.07502175805047868,0.0010855851890972038
  DS-7423,,PIK3CA,8.71,0.12,0.07502175805047868,0.0003520816829504445
  VOXTALISIB,,PIK3CA,8.71,0.12,0.07502175805047868,0.0003520816829504445
  OMIPALISIB,,PIK3CA,8.25,0.12,0.07101827676240209,0.0003520816829504445
  GSK-1059615,,PIK3CA,8.17,0.14,0.07032201914708443,0.0004107619634421853
  AZD-6482,,PIK3CA,7.62,0.09,0.06553524804177546,0.0002640612622128334
  TRAMETINIB,,PIK3CA,7.62,0.06,0.06553524804177546,0.00017604084147522224
  IDELALISIB,,PIK3CA,7.26,0.31,0.062402088772845955,0.0009095443476219816
  VS-5584,,PIK3CA,7.26,0.12,0.062402088772845955,0.0003520816829504445
  PANULISIB,,PIK3CA,7.26,0.12,0.062402088772845955,0.0003520816829504445
  CETUXIMAB,,PIK3CA,6.93,0.1,0.05953002610966058,0.0002934014024587038
  CAPIVASERTIB,,PIK3CA,6.78,0.29,0.05822454308093995,0.0008508640671302408
  SELUMETINIB,,PIK3CA,6.1,0.07,0.05230635335073978,0.00020538098172109265
  PI-103,,PIK3CA,6.1,0.07,0.05230635335073978,0.00020538098172109265
  PACLITAXEL,,PIK3CA,6.1,0.03,0.05230635335073978,8.802042073761112e-05
  VEMURAFENIB,,PIK3CA,6.1,0.07,0.05230635335073978,0.00020538098172109265
  IRINOTECAN,,PIK3CA,5.75,0.03,0.049260226283724985,8.802042073761112e-05
  CAMPTOTHECIN,,PIK3CA,5.44,0.05,0.046562228024369025,0.0001467007012293519
  QUERCETIN,,PIK3CA,5.39,0.02,0.04612706701479548,5.8680280491740756e-05
  LAPATINIB,,PIK3CA,5.13,0.14,0.04386422976501306,0.0004107619634421853
  FIMEPINOSTAT,,PIK3CA,4.84,0.1,0.04134029590948651,0.0002934014024587038
  BGT-226,,PIK3CA,4.84,0.08,0.04134029590948651,0.00023472112196696302
  PUQUITINIB,,PIK3CA,4.75,0.07,0.04055700609225414,0.00020538098172109265
  PD-0325901,,PIK3CA,4.75,0.13,0.04055700609225414,0.0003814218231963149
  MK-2206,,PIK3CA,4.61,0.13,0.03933855526544822,0.0003814218231963149
  DOXORUBICIN,,PIK3CA,4.59,0.02,0.0391644908616188,5.8680280491740756e-05
  SAPANISERTIB,,PIK3CA,4.55,0.1,0.03881636205395997,0.0002934014024587038
  GDC-0077,,PIK3CA,4.36,0.18,0.03716275021758051,0.0005281225244256667
  DEMCIZUMAB,,PIK3CA,4.36,0.18,0.03716275021758051,0.0005281225244256667
  CHEMBL1379243,,PIK3CA,4.36,0.37,0.03716275021758051,0.0010855851890972038
  DOXIL,,PIK3CA,4.36,0.18,0.03716275021758051,0.0005281225244256667
  AZD-8835,,PIK3CA,4.36,0.18,0.03716275021758051,0.0005281225244256667
  CHEMBL263664,,PIK3CA,4.36,0.37,0.03716275021758051,0.0010855851890972038
  BAY-1082439,,PIK3CA,4.36,0.18,0.03716275021758051,0.0005281225244256667
  SIROLIMUS,,PIK3CA,4.13,0.06,0.035161009573542214,0.00017604084147522224
  NAVITOCLAX,,PIK3CA,4.02,0.09,0.03420365535248042,0.0002640612622128334
  SULINDAC,,PIK3CA,3.96,0.07,0.03368146214099217,0.00020538098172109265
  RIGOSERTIB,,PIK3CA,3.87,0.16,0.03289817232375979,0.00046944224393392605
  PIMASERTIB,,PIK3CA,3.87,0.08,0.03289817232375979,0.00023472112196696302
  DEGUELIN,,PIK3CA,3.73,0.16,0.031679721496953875,0.00046944224393392605
  ABT 737,,PIK3CA,3.73,0.11,0.031679721496953875,0.00032274154270457413
  AT-13148,,PIK3CA,3.73,0.11,0.031679721496953875,0.00032274154270457413
  PALBOCICLIB,,PIK3CA,3.71,0.04,0.03150565709312446,0.00011736056098348151
  CISPLATIN,,PIK3CA,3.53,0.01,0.029939077458659705,2.9340140245870378e-05
  ACALISIB,,PIK3CA,3.48,0.15,0.029503916449086166,0.00044010210368805564
  INFIGRATINIB,,PIK3CA,3.41,0.05,0.028894691035683207,0.0001467007012293519
  TANESPIMYCIN,,PIK3CA,3.35,0.06,0.028372497824194955,0.00017604084147522224
  PKI-179,,PIK3CA,3.27,0.28,0.027676240208877288,0.0008215239268843706
  NERATINIB,,PIK3CA,3.17,0.13,0.026805918189730202,0.0003814218231963149
  COBIMETINIB,,PIK3CA,3.11,0.05,0.02628372497824195,0.0001467007012293519
  CHEMBL1765740,,PIK3CA,2.9,0.12,0.024456048738033073,0.0003520816829504445
  RIDAFOROLIMUS,,PIK3CA,2.9,0.25,0.024456048738033073,0.0007335035061467594
  BCG VACCINE,,PIK3CA,2.9,0.06,0.024456048738033073,0.00017604084147522224
  CHEMBL1086377,,PIK3CA,2.9,0.06,0.024456048738033073,0.00017604084147522224
  CGM-097,,PIK3CA,2.9,0.12,0.024456048738033073,0.0003520816829504445
  CC-223,,PIK3CA,2.9,0.25,0.024456048738033073,0.0007335035061467594
  WORTMANNIN,,PIK3CA,2.83,0.03,0.023846823324630118,8.802042073761112e-05
  REGORAFENIB,,PIK3CA,2.8,0.04,0.02358572671888599,0.00011736056098348151
  ALVOCIDIB,,PIK3CA,2.77,0.03,0.023324630113141866,8.802042073761112e-05
  RECILISIB,,PIK3CA,2.72,0.05,0.022889469103568327,0.0001467007012293519
  ZSTK-474,,PIK3CA,2.72,0.05,0.022889469103568327,0.0001467007012293519
  WX-037,,PIK3CA,2.72,0.05,0.022889469103568327,0.0001467007012293519
  BORTEZOMIB,,PIK3CA,2.71,0.01,0.022802436901653615,2.9340140245870378e-05
  BEVACIZUMAB,,PIK3CA,2.66,0.04,0.022367275892080075,0.00011736056098348151
  DABRAFENIB,,PIK3CA,2.65,0.03,0.022280243690165364,8.802042073761112e-05
  AZD-8055,,PIK3CA,2.61,0.07,0.02193211488250653,0.00020538098172109265
  OSI-027,,PIK3CA,2.61,0.07,0.02193211488250653,0.00020538098172109265
  DUVELISIB,,PIK3CA,2.61,0.07,0.02193211488250653,0.00020538098172109265
  SAR-260301,,PIK3CA,2.49,0.11,0.02088772845953003,0.00032274154270457413
  CARBOPLATIN,,PIK3CA,2.48,0.02,0.020800696257615322,5.8680280491740756e-05
  SF-1126,,PIK3CA,2.42,0.04,0.02027850304612707,0.00011736056098348151
  PWT-33587,,PIK3CA,2.42,0.04,0.02027850304612707,0.00011736056098348151
  RG-7666,,PIK3CA,2.42,0.04,0.02027850304612707,0.00011736056098348151
  VINCRISTINE,,PIK3CA,2.4,0.01,0.02010443864229765,2.9340140245870378e-05
  VENETOCLAX,,PIK3CA,2.32,0.05,0.019408181026979984,0.0001467007012293519
  TOPOTECAN,,PIK3CA,2.32,0.05,0.019408181026979984,0.0001467007012293519
  LINSITINIB,,PIK3CA,2.18,0.09,0.01818973020017407,0.0002640612622128334
  SELETALISIB,,PIK3CA,2.18,0.09,0.01818973020017407,0.0002640612622128334
  LENIOLISIB,,PIK3CA,2.18,0.18,0.01818973020017407,0.0005281225244256667
  CHEMBL589258,,PIK3CA,2.18,0.18,0.01818973020017407,0.0005281225244256667
  A-443654,,PIK3CA,2.18,0.09,0.01818973020017407,0.0002640612622128334
  TENALISIB,,PIK3CA,2.18,0.09,0.01818973020017407,0.0002640612622128334
  AMG-319,,PIK3CA,2.18,0.09,0.01818973020017407,0.0002640612622128334
  AFURESERTIB,,PIK3CA,2.18,0.18,0.01818973020017407,0.0005281225244256667
  PWT-33579,,PIK3CA,2.18,0.18,0.01818973020017407,0.0005281225244256667
  TAK-733,,PIK3CA,2.18,0.09,0.01818973020017407,0.0002640612622128334
  FLUOROURACIL,,PIK3CA,2.16,0.01,0.01801566579634465,2.9340140245870378e-05
  PRASTERONE,,PIK3CA,2.01,0.03,0.01671018276762402,8.802042073761112e-05
  FLOXURIDINE,,PIK3CA,1.87,0.05,0.015491731940818104,0.0001467007012293519
  SORAFENIB,,PIK3CA,1.84,0.01,0.015230635335073978,2.9340140245870378e-05
  OLAPARIB,,PIK3CA,1.74,0.02,0.014360313315926894,5.8680280491740756e-05
  DEZAPELISIB,,PIK3CA,1.74,0.07,0.014360313315926894,0.00020538098172109265
  NEMIRALISIB,,PIK3CA,1.74,0.07,0.014360313315926894,0.00020538098172109265
  BIMIRALISIB,,PIK3CA,1.74,0.07,0.014360313315926894,0.00020538098172109265
  MILTEFOSINE,,PIK3CA,1.74,0.15,0.014360313315926894,0.00044010210368805564
  PANITUMUMAB,,PIK3CA,1.66,0.04,0.013664055700609225,0.00011736056098348151
  GSK-2636771,,PIK3CA,1.63,0.02,0.0134029590948651,5.8680280491740756e-05
  RIBOCICLIB,,PIK3CA,1.63,0.05,0.0134029590948651,0.0001467007012293519
  REGRAMOSTIM,,PIK3CA,1.63,0.05,0.0134029590948651,0.0001467007012293519
  FULVESTRANT,,PIK3CA,1.56,0.13,0.012793733681462142,0.0003814218231963149
  AZD-8186,,PIK3CA,1.45,0.06,0.011836379460400347,0.00017604084147522224
  AEW-541,,PIK3CA,1.45,0.12,0.011836379460400347,0.0003520816829504445
  CAPECITABINE,,PIK3CA,1.45,0.03,0.011836379460400347,8.802042073761112e-05
  MYRICETIN,,PIK3CA,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  MSC-2363318A,,PIK3CA,1.45,0.12,0.011836379460400347,0.0003520816829504445
  OPRELVEKIN,,PIK3CA,1.45,0.12,0.011836379460400347,0.0003520816829504445
  GEMCITABINE,,PIK3CA,1.38,0.01,0.011227154046997388,2.9340140245870378e-05
  RALOXIFENE,,PIK3CA,1.36,0.02,0.011053089643167972,5.8680280491740756e-05
  MIDOSTAURIN,,PIK3CA,1.34,0.03,0.010879025239338556,8.802042073761112e-05
  ALDESLEUKIN,,PIK3CA,1.34,0.03,0.010879025239338556,8.802042073761112e-05
  RESVERATROL,,PIK3CA,1.3,0.01,0.010530896431679721,2.9340140245870378e-05
  EMODIN,,PIK3CA,1.29,0.03,0.010443864229765013,8.802042073761112e-05
  PERIFOSINE,,PIK3CA,1.24,0.11,0.01000870322019147,0.00032274154270457413
  IRINOTECAN HYDROCHLORIDE,,PIK3CA,1.24,0.11,0.01000870322019147,0.00032274154270457413
  LY-294002,,PIK3CA,1.19,0.1,0.009573542210617928,0.0002934014024587038
  CAFFEINE,,PIK3CA,1.18,0.02,0.00948651000870322,5.8680280491740756e-05
  DOCETAXEL,,PIK3CA,1.17,0.01,0.00939947780678851,2.9340140245870378e-05
  PONATINIB,,PIK3CA,1.16,0.02,0.009312445604873803,5.8680280491740756e-05
  LETROZOLE,,PIK3CA,1.16,0.05,0.009312445604873803,0.0001467007012293519
  VISTUSERTIB,,PIK3CA,1.09,0.09,0.008703220191470845,0.0002640612622128334
  PERTUZUMAB,,PIK3CA,1.09,0.09,0.008703220191470845,0.0002640612622128334
  CABOZANTINIB,,PIK3CA,1.09,0.05,0.008703220191470845,0.0001467007012293519
  IPATASERTIB,,PIK3CA,1.09,0.09,0.008703220191470845,0.0002640612622128334
  ASPIRIN,,PIK3CA,1.07,0.02,0.00852915578764143,5.8680280491740756e-05
  ADENOSINE TRIPHOSPHATE,,PIK3CA,1.07,0.01,0.00852915578764143,2.9340140245870378e-05
  TAMOXIFEN,,PIK3CA,1.04,0.01,0.008268059181897304,2.9340140245870378e-05
  CELECOXIB,,PIK3CA,1.04,0.01,0.008268059181897304,2.9340140245870378e-05
  DASATINIB,,PIK3CA,0.98,0.01,0.007745865970409052,2.9340140245870378e-05
  GEFITINIB,,PIK3CA,0.9,0.01,0.007049608355091385,2.9340140245870378e-05
  SURAMIN,,PIK3CA,0.87,0.02,0.006788511749347259,5.8680280491740756e-05
  UPROSERTIB,,PIK3CA,0.73,0.06,0.005570060922541341,0.00017604084147522224
  LUCITANIB,,PIK3CA,0.73,0.06,0.005570060922541341,0.00017604084147522224
  ERLOTINIB,,PIK3CA,0.66,0.01,0.004960835509138382,2.9340140245870378e-05
  METFORMIN,,PIK3CA,0.65,0.02,0.004873803307223674,5.8680280491740756e-05
  IBUPROFEN,,PIK3CA,0.62,0.02,0.004612706701479548,5.8680280491740756e-05
  STREPTOZOCIN,,PIK3CA,0.37,0.02,0.002436901653611837,5.8680280491740756e-05
  COPANLISIB,,PIK3CB,5.81,0.19,0.04978241949521323,0.0005574626646715372
  SONOLISIB,,PIK3CB,5.23,0.17,0.04473455178416015,0.0004987823841797964
  AZD-6482,,PIK3CB,5.08,0.14,0.04342906875543952,0.0004107619634421853
  GSK-2636771,,PIK3CB,4.9,0.16,0.04186248912097477,0.00046944224393392605
  BGT-226,,PIK3CB,4.84,0.19,0.04134029590948651,0.0005574626646715372
  PUQUITINIB,,PIK3CB,4.75,0.16,0.04055700609225414,0.00046944224393392605
  INK-1117,,PIK3CB,4.36,0.43,0.03716275021758051,0.0012616260305724262
  BAY-1082439,,PIK3CB,4.36,0.43,0.03716275021758051,0.0012616260305724262
  BUPARLISIB,,PIK3CB,4.36,0.11,0.03716275021758051,0.00032274154270457413
  AZD-8186,,PIK3CB,4.36,0.43,0.03716275021758051,0.0012616260305724262
  SAMOTOLISIB,,PIK3CB,4.36,0.17,0.03716275021758051,0.0004987823841797964
  OMIPALISIB,,PIK3CB,4.13,0.14,0.035161009573542214,0.0004107619634421853
  GEDATOLISIB,,PIK3CB,4.06,0.09,0.03455178416013925,0.0002640612622128334
  TASELISIB,,PIK3CB,3.96,0.16,0.03368146214099217,0.00046944224393392605
  PILARALISIB,,PIK3CB,3.92,0.13,0.03333333333333334,0.0003814218231963149
  APITOLISIB,,PIK3CB,3.81,0.11,0.032375979112271545,0.00032274154270457413
  VS-5584,,PIK3CB,3.63,0.14,0.030809399477806792,0.0004107619634421853
  PANULISIB,,PIK3CB,3.63,0.14,0.030809399477806792,0.0004107619634421853
  PA-799,,PIK3CB,3.63,0.14,0.030809399477806792,0.0004107619634421853
  BIMIRALISIB,,PIK3CB,3.48,0.34,0.029503916449086166,0.0009975647683595928
  QUERCETIN,,PIK3CB,3.24,0.02,0.027415143603133164,5.8680280491740756e-05
  ALPELISIB,,PIK3CB,3.17,0.08,0.026805918189730202,0.00023472112196696302
  PF-04691502,,PIK3CB,3.07,0.1,0.02593559617058312,0.0002934014024587038
  PI-103,,PIK3CB,3.05,0.09,0.0257615317667537,0.0002640612622128334
  CHEMBL1086377,,PIK3CB,2.9,0.14,0.024456048738033073,0.0004107619634421853
  DACTOLISIB,,PIK3CB,2.9,0.06,0.024456048738033073,0.00017604084147522224
  VOXTALISIB,,PIK3CB,2.9,0.1,0.024456048738033073,0.0002934014024587038
  INDOLE-3-CARBINOL,,PIK3CB,2.9,0.29,0.024456048738033073,0.0008508640671302408
  ALVOCIDIB,,PIK3CB,2.77,0.08,0.023324630113141866,0.00023472112196696302
  RECILISIB,,PIK3CB,2.72,0.11,0.022889469103568327,0.00032274154270457413
  ZSTK-474,,PIK3CB,2.72,0.11,0.022889469103568327,0.00032274154270457413
  WX-037,,PIK3CB,2.72,0.11,0.022889469103568327,0.00032274154270457413
  GSK-1059615,,PIK3CB,2.72,0.11,0.022889469103568327,0.00032274154270457413
  DUVELISIB,,PIK3CB,2.61,0.17,0.02193211488250653,0.0004987823841797964
  PICTILISIB,,PIK3CB,2.61,0.09,0.02193211488250653,0.0002640612622128334
  SAR-260301,,PIK3CB,2.49,0.25,0.02088772845953003,0.0007335035061467594
  RG-7666,,PIK3CB,2.42,0.1,0.02027850304612707,0.0002934014024587038
  SF-1126,,PIK3CB,2.42,0.1,0.02027850304612707,0.0002934014024587038
  PWT-33587,,PIK3CB,2.42,0.1,0.02027850304612707,0.0002934014024587038
  AMG-319,,PIK3CB,2.18,0.22,0.01818973020017407,0.0006454830854091483
  GDC-0077,,PIK3CB,2.18,0.22,0.01818973020017407,0.0006454830854091483
  CAMPTOTHECIN,,PIK3CB,2.18,0.05,0.01818973020017407,0.0001467007012293519
  SELETALISIB,,PIK3CB,2.18,0.22,0.01818973020017407,0.0006454830854091483
  TENALISIB,,PIK3CB,2.18,0.22,0.01818973020017407,0.0006454830854091483
  DS-7423,,PIK3CB,2.18,0.07,0.01818973020017407,0.00020538098172109265
  PRASTERONE,,PIK3CB,2.01,0.07,0.01671018276762402,0.00020538098172109265
  FIMEPINOSTAT,,PIK3CB,1.94,0.1,0.01610095735422106,0.0002934014024587038
  DOXORUBICIN,,PIK3CB,1.83,0.02,0.01514360313315927,5.8680280491740756e-05
  ACALISIB,,PIK3CB,1.74,0.17,0.014360313315926894,0.0004987823841797964
  DEZAPELISIB,,PIK3CB,1.74,0.17,0.014360313315926894,0.0004987823841797964
  NEMIRALISIB,,PIK3CB,1.74,0.17,0.014360313315926894,0.0004987823841797964
  AZD-8835,,PIK3CB,1.45,0.14,0.011836379460400347,0.0004107619634421853
  SERABELISIB,,PIK3CB,1.45,0.14,0.011836379460400347,0.0004107619634421853
  IDELALISIB,,PIK3CB,1.45,0.14,0.011836379460400347,0.0004107619634421853
  LOVASTATIN,,PIK3CB,1.36,0.04,0.011053089643167972,0.00011736056098348151
  MIDOSTAURIN,,PIK3CB,1.34,0.07,0.010879025239338556,0.00020538098172109265
  ALDESLEUKIN,,PIK3CB,1.34,0.07,0.010879025239338556,0.00020538098172109265
  SURAMIN,,PIK3CB,1.31,0.06,0.01061792863359443,0.00017604084147522224
  TROGLITAZONE,,PIK3CB,1.28,0.05,0.010356832027850305,0.0001467007012293519
  CAFFEINE,,PIK3CB,1.18,0.05,0.00948651000870322,0.0001467007012293519
  INFIGRATINIB,,PIK3CB,1.14,0.04,0.009138381201044385,0.00011736056098348151
  EPINEPHRINE,,PIK3CB,1.12,0.06,0.008964316797214971,0.00017604084147522224
  RIGOSERTIB,,PIK3CB,0.97,0.1,0.007658833768494343,0.0002934014024587038
  WORTMANNIN,,PIK3CB,0.94,0.02,0.0073977371627502175,5.8680280491740756e-05
  PROGESTERONE,,PIK3CB,0.79,0.02,0.006092254134029592,5.8680280491740756e-05
  OCTREOTIDE,,PIK3CB,0.73,0.14,0.005570060922541341,0.0004107619634421853
  GLUTAMIC ACID,,SLC1A3,3.04,3.61,0.025674499564838995,0.010591790628759206
  TRIDOLGOSIR,,ZAP70,2.18,7.1,0.01818973020017407,0.020831499574567966
  STAUROSPORINE,,ZAP70,1.69,0.79,0.01392515230635335,0.0023178710794237597
  ALOISINE,,ZAP70,1.45,4.73,0.011836379460400347,0.01387788633629669
  FOSTAMATINIB,,ZAP70,0.96,0.1,0.007571801566579635,0.0002934014024587038
  DASATINIB,,CRKL,0.98,0.71,0.007745865970409052,0.0020831499574567964
  GEFITINIB,,CRKL,0.9,0.84,0.007049608355091385,0.0024645717806531116
  CHEMBL466496,,MAPKAPK2,8.71,9.47,0.07502175805047868,0.027785112812839248
  CHEMBL1231206,,MAPKAPK2,8.71,9.47,0.07502175805047868,0.027785112812839248
  CHEMBL555205,,MAPKAPK2,4.36,4.73,0.03716275021758051,0.01387788633629669
  CHEMBL226403,,MAPKAPK2,4.36,4.73,0.03716275021758051,0.01387788633629669
  CHEMBL226471,,MAPKAPK2,4.36,4.73,0.03716275021758051,0.01387788633629669
  CBP-501,,MAPKAPK2,2.18,2.37,0.01818973020017407,0.006953613238271279
  AT-13148,,MAPKAPK2,1.87,0.68,0.015491731940818104,0.0019951295367191856
  STAUROSPORINE,,MAPKAPK2,1.69,0.26,0.01392515230635335,0.0007628436463926298
  THEOPHYLLINE,,MAPKAPK2,1.41,0.31,0.011488250652741514,0.0009095443476219816
  SB-203580,,MAPKAPK2,1.01,0.36,0.008006962576153178,0.0010562450488513335
  LAUROGUADINE,,MAPKAPK2,0.62,0.17,0.004612706701479548,0.0004987823841797964
  CHEMBL225519,,MAPKAPK2,0.59,0.07,0.004351610095735423,0.00020538098172109265
  CERULENIN,,FASN,39.2,24.35,0.34038294168842476,0.07144324149869437
  ORLISTAT,,FASN,10.45,2.16,0.09016536118363795,0.006337470293108002
  CHEMBL577862,,FASN,4.36,2.71,0.03716275021758051,0.007951178006630873
  PRETOMANID,,FASN,4.36,2.71,0.03716275021758051,0.007951178006630873
  LORGLUMIDE SODIUM,,FASN,4.36,2.71,0.03716275021758051,0.007951178006630873
  CHEMBL578883,,FASN,4.36,2.71,0.03716275021758051,0.007951178006630873
  CHEMBL585030,,FASN,2.18,0.68,0.01818973020017407,0.0019951295367191856
  PACLITAXEL,,FASN,1.74,0.05,0.014360313315926894,0.0001467007012293519
  CHEMBL1255647,,FASN,1.45,0.9,0.011836379460400347,0.002640612622128334
  ADRIAMYCIN,,FASN,1.38,0.28,0.011227154046997388,0.0008215239268843706
  CHEMBL586937,,FASN,1.24,0.39,0.01000870322019147,0.0011442654695889448
  CHEMBL604664,,FASN,1.09,0.68,0.008703220191470845,0.0019951295367191856
  CHEMBL523200,,FASN,1.02,0.16,0.008093994778067886,0.00046944224393392605
  FENTICLOR,,FASN,0.92,0.14,0.007223672758920802,0.0004107619634421853
  HEXACHLOROPHENE,,FASN,0.81,0.06,0.006266318537859009,0.00017604084147522224
  RISPERIDONE,,FASN,0.78,0.08,0.006005221932114883,0.00023472112196696302
  CLOZAPINE,,FASN,0.76,0.07,0.005831157528285467,0.00020538098172109265
  DNQX,,FASN,0.73,0.45,0.005570060922541341,0.001320306311064167
  PENTABROMOPHENOL,,FASN,0.67,0.21,0.005047867711053091,0.0006161429451632779
  LIOTHYRONINE SODIUM,,FASN,0.58,0.18,0.004264577893820714,0.0005281225244256667
  PYROGALLOL RED,,FASN,0.35,0.11,0.0022628372497824198,0.00032274154270457413
  CARFILZOMIB,,PSMB2,10.7,0.87,0.09234116623150566,0.002552592201390723
  MG-132,,PSMB2,8.71,2.37,0.07502175805047868,0.006953613238271279
  CHEMBL490829,,PSMB2,8.71,7.1,0.07502175805047868,0.020831499574567966
  BORTEZOMIB,,PSMB2,8.13,0.47,0.0699738903394256,0.0013789865915559076
  IXAZOMIB CITRATE,,PSMB2,4.59,0.37,0.0391644908616188,0.0010855851890972038
  OPROZOMIB,,PSMB2,4.47,0.36,0.0381201044386423,0.0010562450488513335
  MARIZOMIB,,PSMB2,2.83,0.36,0.023846823324630118,0.0010562450488513335
  KZR-616,,PSMB2,2.18,1.78,0.01818973020017407,0.005222544963764927
  THIOGUANINE,,NT5C2,3.02,0.94,0.025500435161009576,0.002757973183111815
  MERCAPTOPURINE,,NT5C2,2.42,1.13,0.02027850304612707,0.0033154358477833525
  GEMCITABINE,,NT5C2,2.07,0.3,0.01723237597911227,0.0008802042073761113
  ADENOSINE TRIPHOSPHATE,,NT5C2,1.6,0.43,0.013141862489120975,0.0012616260305724262
  TARIBAVIRIN,,NT5C2,1.45,2.71,0.011836379460400347,0.007951178006630873
  DIDANOSINE,,NT5C2,0.67,1.25,0.005047867711053091,0.003667517530733797
  CYTARABINE,,NT5C2,0.61,0.19,0.0045256744995648395,0.0005574626646715372
  LEVOCARNITINE,,CPT1A,8.32,12.05,0.07162750217580506,0.035354868996273804
  PERHEXILINE,,CPT1A,5.44,23.67,0.046562228024369025,0.06944811196197519
  GLYBURIDE,,CPT1A,1.14,2.47,0.009138381201044385,0.007247014640729983
  SURAMIN HEXASODIUM,,GALK1,1.19,0.43,0.009573542210617928,0.0012616260305724262
  PYRANTEL PAMOATE,,GALK1,1.09,1.18,0.008703220191470845,0.0034621365490127044
  QUERCETIN,,GALK1,1.08,0.05,0.008616187989556138,0.0001467007012293519
  CHEMBL578512,,GALK1,0.9,0.16,0.007049608355091385,0.00046944224393392605
  CHEMBL1498652,,GALK1,0.87,0.47,0.006788511749347259,0.0013789865915559076
  HEXACHLOROPHENE,,GALK1,0.81,0.11,0.006266318537859009,0.00032274154270457413
  CHEMBL601757,,GALK1,0.73,0.2,0.005570060922541341,0.0005868028049174076
  CHEMBL429095,,GALK1,0.7,0.09,0.005308964316797215,0.0002640612622128334
  GOSSYPOL,,GALK1,0.54,0.1,0.00391644908616188,0.0002934014024587038
"9,10-PHENANTHRENEQUINONE",,GALK1,0.5,0.18,0.003568320278503047,0.0005281225244256667
  TRICETIN,,GALK1,0.48,0.53,0.0033942558746736296,0.0015550274330311301
