Drug_name,GENE,Query Score,Interaction Score,Normalized_query_score,Normalized_interaction_score
SODIUM NITRITE,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL603031,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL108851,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL156075,ALDH1A1,4.36,0.14,0.03716275,0.000410762
AVOCADYNE ACETATE,ALDH1A1,4.36,0.14,0.03716275,0.000410762
PHENYL ISATIN,ALDH1A1,4.36,0.14,0.03716275,0.000410762
BIS(2-ETHYLHEXYL) PHTHALATE,ALDH1A1,4.36,0.14,0.03716275,0.000410762
ALPHA-CYPERMETHRIN,ALDH1A1,4.36,0.14,0.03716275,0.000410762
2-ETHOXYCARBONYL-2-ETHOXYOXALOYLOXYDIHYDROCHRYSIN DIMETHYL ETHER,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL464176,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL585417,ALDH1A1,4.36,0.14,0.03716275,0.000410762
GARDENIN B,ALDH1A1,4.36,0.14,0.03716275,0.000410762
NITROBENZENE,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL1326758,ALDH1A1,4.36,0.14,0.03716275,0.000410762
MG-132,ALDH1A1,4.36,0.02,0.03716275,5.87E-05
5-METHOXYISATIN,ALDH1A1,4.36,0.14,0.03716275,0.000410762
BINOSPIRONE,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL609030,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL601994,ALDH1A1,4.36,0.14,0.03716275,0.000410762
SODIUM AZIDE,ALDH1A1,4.36,0.14,0.03716275,0.000410762
HYDRAZOBENZENE,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL1594640,ALDH1A1,4.36,0.14,0.03716275,0.000410762
METHYLEPHEDRINE,ALDH1A1,4.36,0.14,0.03716275,0.000410762
BUTANAL,ALDH1A1,4.36,0.14,0.03716275,0.000410762
METHYL ISOBUTYL KETONE,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL113897,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL26886,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CHEMBL444236,ALDH1A1,4.36,0.07,0.03716275,0.000205381
VANILLIN,ALDH1A1,4.36,0.14,0.03716275,0.000410762
CYCLOPHOSPHAMIDE,ALDH1A1,3.86,0.01,0.03281114,2.93E-05
TRETINOIN,ALDH1A1,3.56,0.02,0.030200174,5.87E-05
DITHIOTHREITOL,ALDH1A1,3.48,0.03,0.029503916,8.80E-05
2-AMINOANTHRACENE,ALDH1A1,3.27,0.04,0.02767624,0.000117361
CHEMBL548540,ALDH1A1,2.9,0.05,0.024456049,0.000146701
CHEMBL224032,ALDH1A1,2.9,0.05,0.024456049,0.000146701
E927A,ALDH1A1,2.9,0.05,0.024456049,0.000146701
CHEMBL1392244,ALDH1A1,2.9,0.05,0.024456049,0.000146701
NAN-190,ALDH1A1,2.9,0.05,0.024456049,0.000146701
CHEMBL1269845,ALDH1A1,2.9,0.05,0.024456049,0.000146701
VANITIOLIDE,ALDH1A1,2.9,0.05,0.024456049,0.000146701
THIOPHANATE METHYL,ALDH1A1,2.9,0.05,0.024456049,0.000146701
DIMERCAPROL,ALDH1A1,2.9,0.02,0.024456049,5.87E-05
CHEMBL316796,ALDH1A1,2.9,0.05,0.024456049,0.000146701
CHEMBL104264,ALDH1A1,2.61,0.03,0.021932115,8.80E-05
N- (9-FLUORENYLMETHOXYCARBONYL)-L-LEUCINE,ALDH1A1,2.18,0.07,0.01818973,0.000205381
ARACHIDONYL TRIFLUOROMETHYLKETONE,ALDH1A1,2.18,0.07,0.01818973,0.000205381
HOMOVANILLIC ACID,ALDH1A1,2.18,0.07,0.01818973,0.000205381
ANISALDEHYDE,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL1446254,ALDH1A1,2.18,0.07,0.01818973,0.000205381
PARATHION,ALDH1A1,2.18,0.07,0.01818973,0.000205381
SEMUSTINE,ALDH1A1,2.18,0.07,0.01818973,0.000205381
GARDENIN,ALDH1A1,2.18,0.07,0.01818973,0.000205381
ANTHRALIN,ALDH1A1,2.18,0.02,0.01818973,5.87E-05
ARACHIDONOYL DOPAMINE,ALDH1A1,2.18,0.04,0.01818973,0.000117361
PHENSERINE,ALDH1A1,2.18,0.02,0.01818973,5.87E-05
CHEMBL259784,ALDH1A1,2.18,0.02,0.01818973,5.87E-05
CHEMBL1401091,ALDH1A1,2.18,0.07,0.01818973,0.000205381
MONASTROL,ALDH1A1,2.18,0.04,0.01818973,0.000117361
CANDIDIN,ALDH1A1,2.18,0.07,0.01818973,0.000205381
DAMNACANTHAL,ALDH1A1,2.18,0.04,0.01818973,0.000117361
4'-METHOXYCHALCONE,ALDH1A1,2.18,0.07,0.01818973,0.000205381
HEMICHOLINIUM-3,ALDH1A1,2.18,0.04,0.01818973,0.000117361
CINNAMALDEHYDE,ALDH1A1,2.18,0.07,0.01818973,0.000205381
IODOFORM,ALDH1A1,2.18,0.04,0.01818973,0.000117361
CHEMBL398765,ALDH1A1,2.18,0.04,0.01818973,0.000117361
THIOTEPA,ALDH1A1,2.18,0.04,0.01818973,0.000117361
CHEMBL97858,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL601192,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL423081,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL1091971,ALDH1A1,2.18,0.04,0.01818973,0.000117361
TETRANITROMETHANE,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL484928,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL312487,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL597449,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL77387,ALDH1A1,2.18,0.04,0.01818973,0.000117361
CHEMBL225257,ALDH1A1,2.18,0.07,0.01818973,0.000205381
TIOPRONIN,ALDH1A1,2.18,0.07,0.01818973,0.000205381
E1501,ALDH1A1,2.18,0.07,0.01818973,0.000205381
SULISOBENZONE,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL601142,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL275260,ALDH1A1,2.18,0.04,0.01818973,0.000117361
P-HYDROXYCINNAMALDEHYDE,ALDH1A1,2.18,0.07,0.01818973,0.000205381
BENZOTHIAZYL DISULFIDE,ALDH1A1,2.18,0.04,0.01818973,0.000117361
CHEMBL589207,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL321585,ALDH1A1,2.18,0.04,0.01818973,0.000117361
KAVAIN,ALDH1A1,2.18,0.07,0.01818973,0.000205381
CHEMBL471005,ALDH1A1,2.18,0.04,0.01818973,0.000117361
CHEMBL154580,ALDH1A1,1.98,0.01,0.016449086,2.93E-05
ZAPA,ALDH1A1,1.87,0.02,0.015491732,5.87E-05
DOXORUBICIN,ALDH1A1,1.83,0,0.015143603,0
SILIBININ,ALDH1A1,1.81,0.01,0.014969539,2.93E-05
GALLIC ACID,ALDH1A1,1.81,0.01,0.014969539,2.93E-05
CHLORAMPHENICOL,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
CHEMBL1442783,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
Z-PRO-PROLINAL,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
OSAJIN,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
2-PHENYLPHENOL,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
CHEMBL602776,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
FUROXAN,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
CHEMBL591628,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
RETINYL ACETATE,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
METHYL ROBUSTONE,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
AMITRIPTYLINE HYDROCHLORIDE,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
CHEMBL151797,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
CHEMBL595227,ALDH1A1,1.74,0.01,0.014360313,2.93E-05
CHEMBL469309,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
CHEMBL1335833,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
SARCOLYSIN,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
CHEMBL1426508,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
CHEMBL1489812,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
CARNOSIC ACID,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
CHEMBL1256678,ALDH1A1,1.74,0.03,0.014360313,8.80E-05
CHEMBL591137,ALDH1A1,1.63,0.02,0.013402959,5.87E-05
CHEMBL602807,ALDH1A1,1.63,0.02,0.013402959,5.87E-05
"7,8-DIHYDROXYFLAVONE",ALDH1A1,1.63,0.02,0.013402959,5.87E-05
ROFECOXIB,ALDH1A1,1.63,0.02,0.013402959,5.87E-05
CHEMBL590949,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
CHEMBL1255936,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
CHEMBL1363249,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
"2,4-HEXADIENAL",ALDH1A1,1.45,0.05,0.011836379,0.000146701
DIOTYROSINE,ALDH1A1,1.45,0.01,0.011836379,2.93E-05
PLUMBAGIN,ALDH1A1,1.45,0.01,0.011836379,2.93E-05
LEAD DIACETATE TRIHYDRATE,ALDH1A1,1.45,0.05,0.011836379,0.000146701
DIALLYLDISULFIDE,ALDH1A1,1.45,0.05,0.011836379,0.000146701
OBTUSAQUINONE,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
PROSTAGLANDIN A2,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
CHEMBL421215,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
CHEMBL1332182,ALDH1A1,1.45,0.05,0.011836379,0.000146701
CHEMBL445153,ALDH1A1,1.45,0.05,0.011836379,0.000146701
CHEMBL576412,ALDH1A1,1.45,0.05,0.011836379,0.000146701
CHEMBL585628,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
PIPOBROMAN,ALDH1A1,1.45,0.05,0.011836379,0.000146701
METHYSTICIN,ALDH1A1,1.45,0.05,0.011836379,0.000146701
CHEMBL1448140,ALDH1A1,1.45,0.05,0.011836379,0.000146701
ACROLEIN,ALDH1A1,1.45,0.05,0.011836379,0.000146701
"1,2-NAPHTHOQUINONE",ALDH1A1,1.45,0.02,0.011836379,5.87E-05
SULFINPYRAZONE,ALDH1A1,1.45,0.01,0.011836379,2.93E-05
EPHEDRINE SULFATE,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
PIPERONYL BUTOXIDE,ALDH1A1,1.45,0.05,0.011836379,0.000146701
PENTAERYTHRITOL TETRANITRATE,ALDH1A1,1.45,0.05,0.011836379,0.000146701
CHEMBL549208,ALDH1A1,1.45,0.05,0.011836379,0.000146701
PYRROLIDINE DITHIOCARBAMIC ACID,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
OXITRIPTAN,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
PHYSOSTIGMINE,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
CHEMBL592106,ALDH1A1,1.45,0.05,0.011836379,0.000146701
BUSPIRONE HYDROCHLORIDE,ALDH1A1,1.45,0.05,0.011836379,0.000146701
CHEMBL76589,ALDH1A1,1.45,0.05,0.011836379,0.000146701
DITHIOLETHIONE,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
CHEMBL1448292,ALDH1A1,1.45,0.05,0.011836379,0.000146701
LAWSONE,ALDH1A1,1.45,0.05,0.011836379,0.000146701
METHANANDAMIDE,ALDH1A1,1.45,0.05,0.011836379,0.000146701
CHEMBL59150,ALDH1A1,1.45,0.05,0.011836379,0.000146701
CARBIDOPA,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
CEFDITORIN PIVOXIL,ALDH1A1,1.45,0.05,0.011836379,0.000146701
CHEMBL1459280,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
CHEMBL271023,ALDH1A1,1.45,0.02,0.011836379,5.87E-05
ZEARALENONE,ALDH1A1,1.34,0.01,0.010879025,2.93E-05
CHEMBL403183,ALDH1A1,1.31,0.01,0.010617929,2.93E-05
CHEMBL1341830,ALDH1A1,1.31,0.01,0.010617929,2.93E-05
OXYMETHOLONE,ALDH1A1,1.31,0.01,0.010617929,2.93E-05
3-METHOXYCATECHOL,ALDH1A1,1.31,0.01,0.010617929,2.93E-05
CHEMBL538798,ALDH1A1,1.31,0.01,0.010617929,2.93E-05
CHEMBL80155,ALDH1A1,1.31,0.01,0.010617929,2.93E-05
RETINOL,ALDH1A1,1.24,0.01,0.010008703,2.93E-05
PYRITHIONE ZINC,ALDH1A1,1.24,0.01,0.010008703,2.93E-05
CHEMBL581872,ALDH1A1,1.24,0.02,0.010008703,5.87E-05
OXYTETRACYCLINE HYDROCHLORIDE,ALDH1A1,1.24,0.02,0.010008703,5.87E-05
CHEMBL457504,ALDH1A1,1.24,0.02,0.010008703,5.87E-05
IODOACETAMIDE,ALDH1A1,1.24,0.01,0.010008703,2.93E-05
"3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN",ALDH1A1,1.24,0.02,0.010008703,5.87E-05
CHEMBL239439,ALDH1A1,1.24,0.02,0.010008703,5.87E-05
CHEMBL1214274,ALDH1A1,1.24,0.02,0.010008703,5.87E-05
PROROXAN HYDROCHLORIDE,ALDH1A1,1.24,0.02,0.010008703,5.87E-05
PROPACHLOR,ALDH1A1,1.24,0.02,0.010008703,5.87E-05
CLIOQUINOL,ALDH1A1,1.21,0.01,0.009747607,2.93E-05
CHEMBL328710,ALDH1A1,1.19,0.01,0.009573542,2.93E-05
E319,ALDH1A1,1.19,0.01,0.009573542,2.93E-05
CHEMBL580421,ALDH1A1,1.19,0.01,0.009573542,2.93E-05
CHEMBL139935,ALDH1A1,1.19,0.01,0.009573542,2.93E-05
PYROGALLOL,ALDH1A1,1.16,0.01,0.009312446,2.93E-05
HARMINE,ALDH1A1,1.16,0.01,0.009312446,2.93E-05
THIRAM,ALDH1A1,1.14,0.01,0.009138381,2.93E-05
CITRIC ACID,ALDH1A1,1.09,0.04,0.00870322,0.000117361
METRONIDAZOLE,ALDH1A1,1.09,0.04,0.00870322,0.000117361
CHEMBL602990,ALDH1A1,1.09,0.02,0.00870322,5.87E-05
BENZOPHENONE,ALDH1A1,1.09,0.04,0.00870322,0.000117361
CHEMBL606166,ALDH1A1,1.09,0.02,0.00870322,5.87E-05
CADMIUM ACETATE,ALDH1A1,1.09,0.02,0.00870322,5.87E-05
ALLITRIDIN,ALDH1A1,1.09,0.04,0.00870322,0.000117361
CHEMBL336095,ALDH1A1,1.09,0.02,0.00870322,5.87E-05
E-DOXEPIN,ALDH1A1,1.09,0.04,0.00870322,0.000117361
CHEMBL166486,ALDH1A1,1.09,0.02,0.00870322,5.87E-05
METHYL PARATHIONE,ALDH1A1,1.09,0.04,0.00870322,0.000117361
TYRPHOSTIN 25,ALDH1A1,1.09,0.01,0.00870322,2.93E-05
TANGERETIN,ALDH1A1,1.09,0.04,0.00870322,0.000117361
DICUMAROL,ALDH1A1,1.09,0.02,0.00870322,5.87E-05
CHEMBL601618,ALDH1A1,1.09,0.04,0.00870322,0.000117361
KAINIC ACID,ALDH1A1,1.09,0.04,0.00870322,0.000117361
ORTHOTOLIDINE,ALDH1A1,1.09,0.04,0.00870322,0.000117361
BIS(DIMETHYLAMINETHIOCARBONYL)MONOSULFIDE,ALDH1A1,1.09,0.02,0.00870322,5.87E-05
CHEMBL600908,ALDH1A1,1.09,0.04,0.00870322,0.000117361
"2,3,4-TRIHYDROXY-4'-ETHOXYBENZOPHENONE",ALDH1A1,1.09,0.04,0.00870322,0.000117361
CHEMBL578915,ALDH1A1,1.09,0.04,0.00870322,0.000117361
RO-194603,ALDH1A1,1.09,0.04,0.00870322,0.000117361
CHEMBL1412710,ALDH1A1,1.09,0.04,0.00870322,0.000117361
CHEMBL38288,ALDH1A1,1.09,0.04,0.00870322,0.000117361
CHEMBL322970,ALDH1A1,1.09,0.01,0.00870322,2.93E-05
QUERCETIN,ALDH1A1,1.08,0,0.008616188,0
MENADIONE,ALDH1A1,1.05,0,0.008355091,0
METHYLDOPA,ALDH1A1,1.02,0,0.008093995,0
CHEMBL523200,ALDH1A1,1.02,0.01,0.008093995,2.93E-05
PYRROLIDINE DITHIOCARBAMATE,ALDH1A1,1.01,0.01,0.008006963,2.93E-05
ZIRAM,ALDH1A1,1.01,0.01,0.008006963,2.93E-05
CAPTAN,ALDH1A1,1.01,0.01,0.008006963,2.93E-05
TANSHINONE IIA,ALDH1A1,1.01,0.01,0.008006963,2.93E-05
CARBOPLATIN,ALDH1A1,0.99,0,0.007832898,0
CHEMBL599255,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
PIPLARTINE,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
BRIMONIDINE,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
CHEMBL1486366,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
2-MERCAPTOBENZOTHIAZOLE,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
MICHLER'S KETONE,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
DYCLONINE,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
CHEMBL220845,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
CHEMBL601952,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
4-METHOXYDALBERGIONE,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
METHYLENE BLUE,ALDH1A1,0.97,0.02,0.007658834,5.87E-05
EMBELIN,ALDH1A1,0.93,0.01,0.007310705,2.93E-05
TRICHOSTATIN,ALDH1A1,0.92,0.01,0.007223673,2.93E-05
CISPLATIN,ALDH1A1,0.88,0,0.006875544,0
PIRINIXIC ACID,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
CONGO RED,ALDH1A1,0.87,0.01,0.006788512,2.93E-05
KOPARIN,ALDH1A1,0.87,0.01,0.006788512,2.93E-05
CHRYSOPHANOL,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
CHEMBL120806,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
CHEMBL1549738,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
PHENACYL CHLORIDE,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
METHOXYCHLOR,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
4-NONYLPHENOL,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
BUSPIRONE,ALDH1A1,0.87,0.01,0.006788512,2.93E-05
CHLORANIL,ALDH1A1,0.87,0.01,0.006788512,2.93E-05
ZAPRINAST,ALDH1A1,0.87,0.01,0.006788512,2.93E-05
PROPYLPARABEN,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
BERGAPTEN,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
MERCURIC CHLORIDE,ALDH1A1,0.87,0.01,0.006788512,2.93E-05
"1,4-DIMETHOXYANTHRAQUINONE",ALDH1A1,0.87,0.01,0.006788512,2.93E-05
ACETOCHLOR,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
EDARAVONE,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
AMBUNOL,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
CHEMBL1415851,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
CHEMBL577660,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
CHEMBL313737,ALDH1A1,0.87,0.01,0.006788512,2.93E-05
CHEMBL171699,ALDH1A1,0.87,0.01,0.006788512,2.93E-05
CHEMBL505670,ALDH1A1,0.87,0,0.006788512,0
CHEMBL1498652,ALDH1A1,0.87,0.01,0.006788512,2.93E-05
CHEMBL181633,ALDH1A1,0.87,0.03,0.006788512,8.80E-05
EBSELEN,ALDH1A1,0.85,0,0.006614447,0
THIMEROSAL,ALDH1A1,0.84,0.01,0.006527415,2.93E-05
HAEMATOXYLIN,ALDH1A1,0.84,0.01,0.006527415,2.93E-05
TYRPHOSTIN A9,ALDH1A1,0.83,0.01,0.006440383,2.93E-05
BENSERAZIDE HYDROCHLORIDE,ALDH1A1,0.82,0.01,0.006353351,2.93E-05
CHEMBL24983,ALDH1A1,0.82,0.01,0.006353351,2.93E-05
NAFAMOSTAT,ALDH1A1,0.82,0.01,0.006353351,2.93E-05
ARACHIDONIC ACID,ALDH1A1,0.82,0.01,0.006353351,2.93E-05
CADMIUM DICHLORIDE,ALDH1A1,0.79,0.01,0.006092254,2.93E-05
RIBAVIRIN,ALDH1A1,0.79,0,0.006092254,0
METHYLERGONOVINE,ALDH1A1,0.79,0.01,0.006092254,2.93E-05
CHEMBL222556,ALDH1A1,0.79,0.01,0.006092254,2.93E-05
CHEMBL1310138,ALDH1A1,0.79,0.01,0.006092254,2.93E-05
RALOXIFENE HYDROCHLORIDE,ALDH1A1,0.79,0.01,0.006092254,2.93E-05
CHEMBL244707,ALDH1A1,0.79,0.01,0.006092254,2.93E-05
DOCONEXENT,ALDH1A1,0.79,0.01,0.006092254,2.93E-05
BIFONAZOLE,ALDH1A1,0.79,0.01,0.006092254,2.93E-05
"5,7-DIHYDROXYISOFLAVONE",ALDH1A1,0.79,0.01,0.006092254,2.93E-05
CARMUSTINE,ALDH1A1,0.79,0.01,0.006092254,2.93E-05
CAPSAICIN,ALDH1A1,0.77,0.01,0.00591819,2.93E-05
AZACITIDINE,ALDH1A1,0.77,0,0.00591819,0
TYRPHOSTIN AG 879,ALDH1A1,0.77,0.01,0.00591819,2.93E-05
NORDIHYDROGUAIARETIC ACID,ALDH1A1,0.75,0,0.005744125,0
ROTTLERIN,ALDH1A1,0.73,0.01,0.005570061,2.93E-05
RABEPRAZOLE,ALDH1A1,0.73,0.01,0.005570061,2.93E-05
CHEMBL581677,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
EUGENOL,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
BAY-11-7085,ALDH1A1,0.73,0.01,0.005570061,2.93E-05
GUTHION,ALDH1A1,0.73,0.01,0.005570061,2.93E-05
THYROXINE,ALDH1A1,0.73,0.01,0.005570061,2.93E-05
NIFUROXAZIDE,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
LINOLEIC ACID,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
CHEMBL126804,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
CAMPHOR,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
MYRICETIN,ALDH1A1,0.73,0,0.005570061,0
METHYLDOPA (RACEMIC),ALDH1A1,0.73,0.01,0.005570061,2.93E-05
CARMINE,ALDH1A1,0.73,0.01,0.005570061,2.93E-05
BENZYL ISOTHIOCYANATE,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
ZUCAPSAICIN,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
SAPPANONE A DIMETHYL ETHER,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
2-ARACHIDONOYLGLYCEROL,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
SB-222200,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
NS-398,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
PURPUROGALLIN,ALDH1A1,0.73,0,0.005570061,0
TYRPHOSTIN 1,ALDH1A1,0.73,0.02,0.005570061,5.87E-05
ETHACRYNIC ACID,ALDH1A1,0.73,0.01,0.005570061,2.93E-05
CHEMBL429095,ALDH1A1,0.7,0,0.005308964,0
ACID BLUE 129,ALDH1A1,0.69,0.01,0.005221932,2.93E-05
TAMOXIFEN CITRATE,ALDH1A1,0.69,0.01,0.005221932,2.93E-05
RALOXIFENE,ALDH1A1,0.68,0,0.0051349,0
DISULFIRAM,ALDH1A1,0.67,0,0.005047868,0
CHEMBL586031,ALDH1A1,0.67,0.01,0.005047868,2.93E-05
CHEMBL1079460,ALDH1A1,0.67,0.01,0.005047868,2.93E-05
INAMRINONE,ALDH1A1,0.65,0.01,0.004873803,2.93E-05
PHENYLMERCURIC ACETATE,ALDH1A1,0.65,0.01,0.004873803,2.93E-05
EMODIN,ALDH1A1,0.65,0.01,0.004873803,2.93E-05
CAPSAZEPINE,ALDH1A1,0.62,0.01,0.004612707,2.93E-05
TRANSPLATIN,ALDH1A1,0.62,0.02,0.004612707,5.87E-05
PENTACHLOROPHENOL,ALDH1A1,0.62,0.01,0.004612707,2.93E-05
4-CHLOROMERCURIBENZOIC ACID,ALDH1A1,0.62,0.01,0.004612707,2.93E-05
PHENOXYBENZAMINE,ALDH1A1,0.62,0.01,0.004612707,2.93E-05
CHEMBL1465049,ALDH1A1,0.62,0.01,0.004612707,2.93E-05
DOMIPHEN BROMIDE,ALDH1A1,0.62,0.02,0.004612707,5.87E-05
MEDROXYPROGESTERONE ACETATE,ALDH1A1,0.62,0.01,0.004612707,2.93E-05
CHEMBL17201,ALDH1A1,0.62,0.02,0.004612707,5.87E-05
ARTEMISININ,ALDH1A1,0.62,0.02,0.004612707,5.87E-05
TYRPHOSTIN 23,ALDH1A1,0.62,0.01,0.004612707,2.93E-05
RETINAL,ALDH1A1,0.62,0.02,0.004612707,5.87E-05
CHEMBL578905,ALDH1A1,0.62,0.02,0.004612707,5.87E-05
CATECHOL,ALDH1A1,0.59,0.01,0.00435161,2.93E-05
LINOLENIC ACID,ALDH1A1,0.58,0,0.004264578,0
CHEMBL515505,ALDH1A1,0.57,0.01,0.004177546,2.93E-05
CATECHIN,ALDH1A1,0.54,0.02,0.003916449,5.87E-05
BROMOENOL LACTONE,ALDH1A1,0.54,0.02,0.003916449,5.87E-05
BITHIONOL,ALDH1A1,0.54,0.01,0.003916449,2.93E-05
TYRPHOSTIN 47,ALDH1A1,0.54,0.01,0.003916449,2.93E-05
DYCLONINE HYDROCHLORIDE,ALDH1A1,0.54,0.01,0.003916449,2.93E-05
DOCEBENONE,ALDH1A1,0.54,0.01,0.003916449,2.93E-05
CHEMBL1526167,ALDH1A1,0.54,0.02,0.003916449,5.87E-05
OXYBENZONE,ALDH1A1,0.54,0.02,0.003916449,5.87E-05
DEPHOSTATIN,ALDH1A1,0.52,0.01,0.003742385,2.93E-05
BAICALEIN,ALDH1A1,0.52,0.01,0.003742385,2.93E-05
METHYSERGIDE,ALDH1A1,0.51,0.01,0.003655352,2.93E-05
FENRETINIDE,ALDH1A1,0.5,0.01,0.00356832,2.93E-05
PHENOXYBENZAMINE HYDROCHLORIDE,ALDH1A1,0.48,0.02,0.003394256,5.87E-05
TPCK,ALDH1A1,0.48,0.01,0.003394256,2.93E-05
WIN-552122,ALDH1A1,0.48,0.01,0.003394256,2.93E-05
MERCAPTOPURINE,ALDH1A1,0.48,0,0.003394256,0
GOSSYPETIN,ALDH1A1,0.44,0.01,0.003046127,2.93E-05
PHTHALIC ACID,ALDH1A1,0.44,0.01,0.003046127,2.93E-05
JUGLONE,ALDH1A1,0.44,0.01,0.003046127,2.93E-05
ISOTHYMONIN,ALDH1A1,0.44,0.01,0.003046127,2.93E-05
SP-600125,ALDH1A1,0.44,0,0.003046127,0
CHEMBL592124,ALDH1A1,0.42,0,0.002872063,0
LUTEOLIN,ALDH1A1,0.41,0,0.00278503,0
PROGESTERONE,ALDH1A1,0.4,0,0.002697998,0
